1723287600000,2629.60000000,2635.04000000,2628.10000000,2632.94000000,1205.67500000,1723288499999,3173618.68819400,4633,408.15210000,1074255.44730900,0
1723288500000,2632.94000000,2637.57000000,2632.64000000,2634.27000000,979.92110000,1723289399999,2582276.87296600,5342,493.00730000,1299051.65726400,0
1723289400000,2634.27000000,2642.84000000,2634.27000000,2635.81000000,1167.59210000,1723290299999,3080433.42391100,7318,636.05480000,1677869.66065200,0
1723290300000,2635.80000000,2638.95000000,2633.02000000,2636.58000000,791.56520000,1723291199999,2085930.91362000,4990,393.02500000,1035820.78500500,0
1723291200000,2636.58000000,2637.89000000,2630.51000000,2632.28000000,1159.78210000,1723292099999,3053692.04671700,5089,500.84090000,1318728.86666600,0
1723292100000,2632.29000000,2636.25000000,2630.40000000,2632.78000000,844.19730000,1723292999999,2222488.40402600,4721,459.23630000,1209020.79818800,0
1723293000000,2632.79000000,2637.60000000,2629.01000000,2631.50000000,671.18280000,1723293899999,1766795.53159100,5269,289.37510000,761675.58459000,0
1723293900000,2631.51000000,2632.79000000,2628.22000000,2630.52000000,709.32510000,1723294799999,1866015.86432500,4178,392.38650000,1032281.21105200,0
1723294800000,2630.51000000,2631.94000000,2616.90000000,2618.20000000,1528.38640000,1723295699999,4010705.39893300,8594,488.72240000,1282080.47233900,0
1723295700000,2618.20000000,2621.97000000,2610.52000000,2618.00000000,2268.26860000,1723296599999,5932048.27106400,11130,1094.33090000,2862779.40817800,0
1723296600000,2617.99000000,2623.34000000,2616.49000000,2619.60000000,798.17070000,1723297499999,2091346.43514200,6699,462.11960000,1210882.57663300,0
1723297500000,2619.60000000,2622.60000000,2606.00000000,2609.19000000,1801.40140000,1723298399999,4708232.45042000,10537,732.64750000,1915090.78461200,0
1723298400000,2609.20000000,2613.20000000,2604.07000000,2612.98000000,1357.72600000,1723299299999,3543066.14765000,9941,647.62460000,1690041.70184800,0
1723299300000,2612.98000000,2614.25000000,2608.22000000,2612.70000000,1062.38200000,1723300199999,2774672.56577200,7635,576.41080000,1505427.89125300,0
1723300200000,2612.70000000,2618.35000000,2610.66000000,2614.22000000,1169.46390000,1723301099999,3057828.19987400,5804,715.25410000,1870300.78060200,0
