1725580800000,2368.81000000,2376.58000000,2357.60000000,2372.25000000,6778.12260000,1725584399999,16056094.81065400,67982,3410.11730000,8076275.47572100,0
1725584400000,2372.23000000,2400.48000000,2363.91000000,2391.42000000,10686.21310000,1725587999999,25500544.53191200,103621,5736.67350000,13691221.35869400,0
1725588000000,2391.43000000,2408.40000000,2389.42000000,2402.42000000,10469.79930000,1725591599999,25144447.47834200,88868,5597.69850000,13442538.21841100,0
1725591600000,2402.42000000,2402.95000000,2391.80000000,2392.63000000,5046.38490000,1725595199999,12102133.78388700,43848,2303.70090000,5525462.26491800,0
1725595200000,2392.63000000,2397.35000000,2385.00000000,2386.06000000,5697.24480000,1725598799999,13620971.89325100,46256,2958.46290000,7074362.99440300,0
1725598800000,2386.07000000,2389.31000000,2375.28000000,2384.27000000,7244.68300000,1725602399999,17253783.11196300,61637,3551.60580000,8458895.55565100,0
1725602400000,2384.26000000,2386.06000000,2373.17000000,2379.48000000,5773.99540000,1725605999999,13731590.44259200,53115,3465.34290000,8241108.55832300,0
1725606000000,2379.48000000,2379.83000000,2321.21000000,2344.45000000,38427.82830000,1725609599999,89876729.44730100,216666,18171.87370000,42491987.27289800,0
1725609600000,2344.44000000,2357.56000000,2338.57000000,2350.14000000,12980.91640000,1725613199999,30488154.91905600,93285,6699.66110000,15736410.37082800,0
1725613200000,2350.15000000,2359.36000000,2345.84000000,2358.32000000,7823.60200000,1725616799999,18406323.22074100,58557,3896.19640000,9168023.16030500,0
1725616800000,2358.32000000,2377.40000000,2356.21000000,2367.54000000,9248.82780000,1725620399999,21897526.18837200,66937,5090.53090000,12050985.77078400,0
1725620400000,2367.55000000,2379.40000000,2365.41000000,2372.95000000,9859.86380000,1725623999999,23391965.22877900,56170,4527.54620000,10741026.06399300,0
1725624000000,2372.96000000,2408.83000000,2355.84000000,2399.77000000,35045.39410000,1725627599999,83729072.68840400,174467,18221.54560000,43549923.47645700,0
1725627600000,2399.76000000,2401.28000000,2355.39000000,2363.20000000,24613.42640000,1725631199999,58566201.58025900,199038,10964.95290000,26092455.41480500,0
1725631200000,2363.20000000,2366.76000000,2311.54000000,2327.21000000,54385.55000000,1725634799999,126982016.06586000,272280,24963.03660000,58277968.91963100,0
1725634800000,2327.21000000,2339.34000000,2266.00000000,2290.21000000,61299.33870000,1725638399999,140899334.16515700,226597,28700.51430000,65982578.56607600,0
1725638400000,2290.21000000,2293.17000000,2251.00000000,2266.51000000,56566.00980000,1725641999999,128366503.79728800,197501,25295.00420000,57428911.65454500,0
1725642000000,2266.52000000,2276.91000000,2226.00000000,2245.50000000,41803.76210000,1725645599999,94007111.62659700,159735,19431.75250000,43715778.39692300,0
1725645600000,2245.50000000,2248.85000000,2210.00000000,2210.17000000,33237.05830000,1725649199999,74150038.16693400,119912,14447.48040000,32244189.46029000,0
1725649200000,2210.17000000,2245.67000000,2207.40000000,2222.56000000,44692.71680000,1725652799999,99398450.59276400,150101,22164.90660000,49294204.60626700,0
1725652800000,2222.56000000,2229.89000000,2166.00000000,2169.96000000,87136.42050000,1725656399999,191056245.48989000,251646,37490.71250000,82186467.44784200,0
1725656400000,2169.96000000,2219.60000000,2150.55000000,2217.77000000,50966.97750000,1725659999999,111115126.77802000,169758,25054.61960000,54686429.48317300,0
1725660000000,2217.76000000,2222.89000000,2207.18000000,2209.48000000,12835.56030000,1725663599999,28435735.25188300,56583,6419.00890000,14221509.02766100,0
1725663600000,2209.48000000,2225.98000000,2209.11000000,2225.23000000,10407.41510000,1725667199999,23088906.80358700,45506,5427.22470000,12040163.50615500,0
1725494400000,2450.71000000,2462.35000000,2447.17000000,2454.75000000,9054.56270000,1725497999999,22228804.13908800,37193,4530.45620000,11121857.92941100,0
1725498000000,2454.74000000,2466.00000000,2451.90000000,2458.36000000,5803.53150000,1725501599999,14273261.85471900,38250,3253.38640000,8001045.66523700,0
1725501600000,2458.36000000,2460.29000000,2443.12000000,2446.06000000,10961.87440000,1725505199999,26856237.91924300,46807,4446.74240000,10892941.33661800,0
1725505200000,2446.06000000,2446.06000000,2404.28000000,2405.55000000,25362.17490000,1725508799999,61366725.37202000,95872,10876.14840000,26307428.55036400,0
1725508800000,2405.56000000,2418.47000000,2401.77000000,2414.08000000,11682.98430000,1725512399999,28179422.09173200,44613,6956.12540000,16775518.44903200,0
1725512400000,2414.08000000,2414.93000000,2402.22000000,2409.64000000,6054.66320000,1725515999999,14589055.37027100,38924,2943.10350000,7091067.19141400,0
1725516000000,2409.64000000,2410.23000000,2376.72000000,2399.04000000,15884.65800000,1725519599999,37998005.90617200,82707,7798.52250000,18654188.73371700,0
1725519600000,2399.03000000,2417.20000000,2397.60000000,2412.40000000,8516.16720000,1725523199999,20535299.68813800,46624,5710.64410000,13770713.00629400,0
1725523200000,2412.41000000,2416.35000000,2398.46000000,2406.87000000,6570.10980000,1725526799999,15810685.26120000,59333,3158.75990000,7602071.14250700,0
1725526800000,2406.87000000,2407.00000000,2385.65000000,2392.21000000,8504.15970000,1725530399999,20366208.74376600,63981,3708.35770000,8884392.15422300,0
1725530400000,2392.20000000,2395.91000000,2383.16000000,2390.73000000,6225.05290000,1725533999999,14881575.92875200,45235,2977.35160000,7117958.69911400,0
1725534000000,2390.74000000,2395.65000000,2386.94000000,2389.54000000,7148.91470000,1725537599999,17091596.44693700,39030,3075.00950000,7353135.34584700,0
1725537600000,2389.53000000,2399.00000000,2377.01000000,2390.36000000,14850.70250000,1725541199999,35461063.29144300,97018,7500.55500000,17911259.85066800,0
